ID,Postal_Code,Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Living_Area,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_land,Number_of_facades,Swimming_pool,State_of_the_building,Surface_area_plot_land
20140691.0,1400.0,Nivelles,HOUSE,VILLA,290000.0,Under_Option,5.0,123.0,SEMI_EQUIPPED,1,1,0,40.0,0,240.0,545.0,4.0,1,TO_RENOVATE,545.0
20288073.0,2000.0,Antwerpen,APARTMENT,GROUND_FLOOR,295000.0,Under_Option,1.0,55.0,INSTALLED,2,1,1,0.0,0,27.0,0.0,1.0,0,Does not specify,0.0
20285251.0,8660.0,La Panne,APARTMENT,APARTMENT,295000.0,Not specified,2.0,88.0,INSTALLED,2,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20238356.0,1050.0,Brussel,HOUSE,HOUSE,325000.0,Not specified,3.0,150.0,HYPER_EQUIPPED,1,1,0,30.0,0,280.0,480.0,3.0,1,GOOD,480.0
20290019.0,6900.0,Marche-en-Famenne,HOUSE,HOUSE,330000.0,Not specified,3.0,125.0,INSTALLED,1,1,0,53.0,0,563.0,670.0,3.0,1,GOOD,670.0
20271835.0,6900.0,Marche-en-Famenne,HOUSE,HOUSE,342500.0,Not specified,3.0,158.0,HYPER_EQUIPPED,1,1,0,85.0,0,688.0,910.0,4.0,1,TO_RENOVATE,910.0
20265106.0,6880.0,Bertrix,HOUSE,APARTMENT_BLOCK,389000.0,Not specified,3.0,260.0,SEMI_EQUIPPED,1,1,0,24.0,0,200.0,403.0,3.0,1,GOOD,403.0
20264511.0,1180.0,Uccle,HOUSE,MIXED_USE_BUILDING,410000.0,Not specified,3.0,257.0,SEMI_EQUIPPED,1,1,1,0.0,1,0.0,60.0,2.0,1,TO_BE_DONE_UP,60.0
20291379.0,6920.0,Wellin,HOUSE,HOUSE,429000.0,Not specified,3.0,166.0,INSTALLED,2,1,0,15.0,0,1220.0,1220.0,4.0,0,JUST_RENOVATED,1220.0
20242516.0,1070.0,Anderlecht,HOUSE,HOUSE,545000.0,Not specified,3.0,140.0,HYPER_EQUIPPED,1,1,0,21.0,0,85.0,155.0,2.0,1,AS_NEW,155.0
20146800.0,9600.0,Ronse,HOUSE,EXCEPTIONAL_PROPERTY,555000.0,Not specified,4.0,350.0,SEMI_EQUIPPED,2,1,0,50.0,0,6500.0,7076.0,4.0,1,TO_BE_DONE_UP,7076.0
20259050.0,1300.0,wavre,HOUSE,HOUSE,625000.0,Under_Option,5.0,290.0,INSTALLED,1,1,0,68.0,0,1550.0,1880.0,4.0,1,GOOD,1880.0
20280818.0,1400.0,Nivelles,HOUSE,EXCEPTIONAL_PROPERTY,648000.0,Not specified,4.0,210.0,INSTALLED,1,1,0,0.0,1,0.0,6066.0,4.0,1,TO_BE_DONE_UP,6066.0
20264744.0,1020.0,Bruxelles,HOUSE,HOUSE,679000.0,Not specified,6.0,240.0,INSTALLED,1,1,0,50.0,0,150.0,356.0,3.0,1,GOOD,356.0
20288821.0,1150.0,Woluwe-Saint-Pierre,HOUSE,TOWN_HOUSE,685000.0,Not specified,4.0,202.0,HYPER_EQUIPPED,1,1,0,12.0,0,45.0,169.0,2.0,1,GOOD,169.0
20266518.0,1150.0,Woluwe-Saint-Pierre,HOUSE,VILLA,750000.0,Under_Option,4.0,233.0,INSTALLED,1,1,0,0.0,0,300.0,716.0,4.0,0,TO_RENOVATE,716.0
20291725.0,1060.0,Bruxelles,HOUSE,VILLA,890000.0,Not specified,3.0,300.0,SEMI_EQUIPPED,1,1,0,53.0,0,1500.0,1502.0,4.0,1,GOOD,1502.0
20222520.0,4000.0,Liège,HOUSE,VILLA,1300000.0,Not specified,5.0,472.0,INSTALLED,1,1,0,0.0,1,0.0,2031.0,4.0,0,AS_NEW,2031.0
20290411.0,1180.0,Uccle,HOUSE,APARTMENT_BLOCK,1595000.0,Not specified,10.0,520.0,NOT_INSTALLED,1,1,0,45.0,0,40.0,165.0,2.0,1,TO_RENOVATE,165.0
20288786.0,8300.0,Knokke-Heist,HOUSE,HOUSE,1595000.0,Not specified,4.0,188.0,HYPER_EQUIPPED,1,1,0,0.0,1,0.0,600.0,3.0,0,GOOD,600.0
20288811.0,8300.0,Knokke-Heist,HOUSE,HOUSE,1700000.0,Not specified,4.0,241.0,HYPER_EQUIPPED,0,1,0,0.0,1,0.0,813.0,4.0,0,GOOD,813.0
20294803.0,1502.0,Lembeek,APARTMENT,APARTMENT,229000.0,Not specified,1.0,44.0,SEMI_EQUIPPED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20296497.0,9000.0,Gent,APARTMENT,APARTMENT,229000.0,Under_Option,2.0,80.0,HYPER_EQUIPPED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
